beta,X,Gs1,Gs2,Gs3
3f847ae147ae147b,3f50624dd2f1a9fc,3f50624dd27c61fd,3ea0c6f7a079e144,3de6e80fe00297cb
3f847ae147ae147b,3f70777cc33387ef,3f70777cbbc2749c,3ee0f275d6373623,3e47415c62b3bf70
3f847ae147ae147b,3f7cd66611aaa55f,3f7cd665e9b2a0bf,3ef9fccf035a155d,3e6f39c39d552eaf
3f847ae147ae147b,3f849aa7b010e168,3f849aa775c08f2a,3f0a8879f578e3d7,3e86c76020521931
3f847ae147ae147b,3f8aca1c574c7020,3f8aca1bd71fb784,3f166d6a5e1c83ee,3e9908bc0e665aad
3f847ae147ae147b,3f907cc87f43ff6b,3f907cc807bfc53b,3f20fd5dee78e3e9,3ea757d35d65af74
3f847ae147ae147b,3f939482d2e1c6c8,3f9394820ab464a5,3f27f618b2c73fa2,3eb38c6e955ff862
3f847ae147ae147b,3f96ac3d267f8e24,3f96ac3befb21ac9,3f301072b8a70843,3ebe5a1043e595ab
3f847ae147ae147b,3f99c3f77a1d5580,3f99c3f5b1fd489e,3f34bee20ec6d65b,3ec64590a106f238
3f847ae147ae147b,3f9cdbb1cdbb1cdb,3f9cdbaf4cda4f51,3f3a065a54990284,3ecf4afa0939cf03
3f847ae147ae147b,3f9ff36c2158e437,3f9ff368bb8d904e,3f3fe6db8209529d,3ed53c36cc733b4e
3f847ae147ae147b,3fa185933a7b55ca,3fa18590fcadb6a0,3f433032c70cacfe,3edc048a458d96bb
3f847ae147ae147b,3fa31170644a3978,3fa3116d80c4240f,3f46b97c37703cb9,3ee20e0605cfb760
3f847ae147ae147b,3fa49d4d8e191d26,3fa49d49e7ac419a,3f4a8f4a0cc5efba,3ee6d0285c2da32d
3f847ae147ae147b,3fa6292ab7e800d4,3fa629262f084091,3f4eb19c412f440a,3eec577671a2b4dd
3f847ae147ae147b,3fa7b507e1b6e481,3fa7b502547a5276,3f519039672c4f46,3ef1595d4861aa64
