X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3f50624dd2f1a9fc,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdb66a6fef482db
3fa661b807058f11,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdbea6c200ac996
3fb6202ecfb9c869,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdc64183a88ab13
3fc087c0cdf864a5,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdcd2c5d97a0b36
3fc5ff6a3413e515,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdd35753e321d60
3fcb77139a2f6585,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdd8b13c3667dab
3fd0775e802572fb,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fddd28cd16cc42b
3fd3333333333333,3f847ae147ae147b,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fde0aebb0113401
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdb66a6e327db04
3fa661b807058f11,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdbe9a1e91b6f14
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdc611a00bbe015
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdccc5641ec7341
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdd2a919daf923a
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fdd7b053d87dcb6
3fd0775e802572fb,3fdbfa2608c6f2d6,3fd0000000000000,bfd0000000000000,bfd0000000000000,3fddbcfc118a0e2f
