x,y,z,vx,vy,vz,m
dt=3fa604e3e700545d
M0=3fefffffffff5109
3f7689d95fa42d80,bfdd8ec6401f0192,bfa394bc0e6c6cf0,3ff4eb8b0067184b,3fba540648b452d6,bfbc89742e1059bc,3e864821b88d204d
bfe6f88e51100b5a,bfa61304c09a67f7,3fa4e7ad435505f4,3fb041c405ac91d8,bff2dea526dc4b11,bf94510de0e75a4f,3ec488b15485d888
bfe11d25d8b54daf,bfeb7ad05f478e51,3f091e6b35eb4c68,3feaa6a109389fee,bfe10ea9d9b36530,3ef96053697ff330,3ec981478686e40a
bff75823b06825fc,3fe9a26569af9bbf,3faaeb99a51c04f2,bfd7181ebf94bc60,bfe49d1394c10c3b,bf72fbb51b53c64a,3e95a836414f64ab
4011f98559e567d8,4000aea22eb8a6e5,bfbbf482db316f3e,bfc84aadbe8224f5,3fdac812baf41f46,3f648f291bf8b5da,3f4f4960038a7974
4021065617b6a2e3,c013653b9ef720f6,bfd048f2cd87e8df,3fc23e90431e5c26,3fd1fd5ee3dc9444,bf85a1e1eba12cab,3f32bc5d9a67aed1
4029ebc2182076f4,402d892b43d6316b,bfbcf81da73e5510,bfc6378fb4004ffe,3fc1ef2c051e1ecd,3f66aefe71e0e3ab,3f06e447f18f1461
403dcc231ddf8daa,c0040b8f39dc65c8,bfe452bfc2cb6c55,3f8cddde31e6b10f,3fc76a1750f6eead,bf70c296e4679ac3,3f0b0211fc92455d
3f7683550a42d116,bfdd8e6dbac3e085,bfa394bd2f441040,3ff4eb8b0067184b,3fba540648b452d6,bfbc89742e1059bc,3e864821b88d204d
bfe6f89b59bace13,bfa6104095c15f90,3fa4e7ac227d62a4,3fb041c405ac91d8,bff2dea526dc4b11,bf94510de0e75a4f,3ec488b15485d888
bfe11d32e1601068,bfeb7aa41c99fdcb,3f0919e7d75e0df2,3feaa6a109389fee,bfe10ea9d9b36530,3ef96053697ff330,3ec981478686e40a
bff7582a34bd8758,3fe9a291ac5d2c45,3faaeb98844461a2,bfd7181ebf94bc60,bfe49d1394c10c3b,bf72fbb51b53c64a,3e95a836414f64ab
4011f983b8d00f81,4000aead3f640b07,bfbbf4836b9d40e6,bfc84aadbe8224f5,3fdac812baf41f46,3f648f291bf8b5da,3f4f4960038a7974
40210655472bf6b7,c013653616a16ee5,bfd048f2f1a2dd49,3fc23e90431e5c26,3fd1fd5ee3dc9444,bf85a1e1eba12cab,3f32bc5d9a67aed1
4029ebc14795cac8,402d892e08010a73,bfbcf81e37aa26b8,bfc6378fb4004ffe,3fc1ef2c051e1ecd,3f66aefe71e0e3ab,3f06e447f18f1461
403dcc22b59a3794,c0040b84293101a6,bfe452bfd4d8e68a,3f8cddde31e6b10f,3fc76a1750f6eead,bf70c296e4679ac3,3f0b0211fc92455d
