x,y,z,vx,vy,vz,m
dt=3fb604e3e700545d
M0=3fefffffffff5109
Nint=0000000000000064
3f7689d95fa42d80,bfdd8ec6401f0192,bfa394bc0e6c6cf0,3ff4eb8b0067184b,3fba540648b452d6,bfbc89742e1059bc,3e864821b88d204d
bfe6f88e51100b5a,bfa61304c09a67f7,3fa4e7ad435505f4,3fb041c405ac91d8,bff2dea526dc4b11,bf94510de0e75a4f,3ec488b15485d888
bfe11d25d8b54daf,bfeb7ad05f478e51,3f091e6b35eb4c68,3feaa6a109389fee,bfe10ea9d9b36530,3ef96053697ff330,3ec981478686e40a
bff75823b06825fc,3fe9a26569af9bbf,3faaeb99a51c04f2,bfd7181ebf94bc60,bfe49d1394c10c3b,bf72fbb51b53c64a,3e95a836414f64ab
4011f98559e567d8,4000aea22eb8a6e5,bfbbf482db316f3e,bfc84aadbe8224f5,3fdac812baf41f46,3f648f291bf8b5da,3f4f4960038a7974
4021065617b6a2e3,c013653b9ef720f6,bfd048f2cd87e8df,3fc23e90431e5c26,3fd1fd5ee3dc9444,bf85a1e1eba12cab,3f32bc5d9a67aed1
4029ebc2182076f4,402d892b43d6316b,bfbcf81da73e5510,bfc6378fb4004ffe,3fc1ef2c051e1ecd,3f66aefe71e0e3ab,3f06e447f18f1461
403dcc231ddf8daa,c0040b8f39dc65c8,bfe452bfc2cb6c55,3f8cddde31e6b10f,3fc76a1750f6eead,bf70c296e4679ac3,3f0b0211fc92455d
bfd92ed14d5eeff8,bfa8c5b3edd56a78,3fa074970f76473d,bfc1f2f59848ed3c,bff8da7aa4f277bb,bfbd30e90d6e9e9e,3e864821b88d204d
bfb2077c3ef73c1a,bfe7243e2f43217c,bf780858a7952b6e,3ff29ae762070fcb,bfbe6a0e4b813d00,bfb196c86efab75b,3ec488b15485d888
3fefc240ef10dc70,3fc100fb06a64220,beebe6aa9e119fde,bfc30522790f8db4,3fef979350ff6168,bf0fbc7ec8554cd8,3ec981478686e40a
3fe5eb773e83a59e,3ff5648f9104c7da,3f86f98f9d6a30b5,bfe62bd532cade69,3fdc26b09825942a,3f9ad9919bff154e,3e95a836414f64ab
3ffbbe82b6f9d6c5,4012fc28c6f3963b,bfadf5260a79f80c,bfdab205d74651d4,3fc5e584aea5c876,3f81a9126debaf92,3f4f4960038a7974
4022c3b9a36fc0eb,c002241bfa2a841d,bfd55ffd4ab2a0a1,3fadde8301e6c26f,3fd42135b2fae6ee,bf7fea8eac07c568,3f32bc5d9a67aed1
4026cee18a27dc22,402fcddccbb43bac,bfb6bbf2f063069b,bfc80001084cdb82,3fbf6077721d31d7,3f67a09c0e0146ad,3f06e447f18f1461
403ddff847b77017,bfeda2a3fa3b7b85,bfe56b85eddb8fc8,3f7257cfeee6b7dd,3fc77c3f6094d108,bf6fcc5af8d269fe,3f0b0211fc92455d
