X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef905fa6dd09
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe6326b6a873f5d
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7be9e3c9ccd95
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe9cd523562d405
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fecf5a72edca329
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff1ef221cf06783
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef902a088809
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe6308c2e3a7c66
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7b56094342c4c
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe9b0e67f23b7a8
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feca3a846ef90d8
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff146d2bacc8a5d
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8ff46a3523
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe62ead964fa007
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7ac32152d26f6
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe99502bffda4cc
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fec55ac2719575f
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff0b92f3c83ef61
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8fbecbe457
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe62ccfa266629e
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7a31294b4d6a3
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe979a2931f5156
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fec0b5c63100f70
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff03f4e0b6b3d91
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ffb9ceddae40b8a
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8f892d959e
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe62af2521ecdd8
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe79a01e8a656ab
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe95ec1c7bab815
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3febc46ccb66ef0f
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fefa946b548fbb4
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff57c86a177925a
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8f538f4901
3fa661b807058f11,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe62915a5193c22
3fb6202ecfb9c869,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe790ffe7872820
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe9445c5de5bf4a
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb8099e1fe9ec0
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feeec1142708c97
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff35ad51d63cd0d
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8f1df0fe80
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe627399af6587b
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7880c6883ad1c
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe92a6e83b5b15e
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb3fa7963bd572
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fee426fe0e75c98
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff206cf2e643ab0
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8ee852b611
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe6255e33571e08
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe77f27436bbae6
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe910f492906bd8
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb016039f03e04
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feda8ff75c428f4
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff1119fe13fdb06
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ffc2ceaed370f9c
