X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf5b10504
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd117c25766d9f
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea9ececcedfe4
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02e2222d83509
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1171a69c5204f
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe21401638da90d
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe32b062ae71e1c
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe465ca0b99f184
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf5a67d45
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd116e1466bab6
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea97a07e04769
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02d558d4fc977
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1151170035258
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe20fa91cdc1d83
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe322a692c7b7bf
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe456956dc9f0f9
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf59bf585
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd116003b00840
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea9072ffd5e16
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02c8934b641ea
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe11309b9a9ebc1
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe20b55cdfd1591
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe31a57596cfe32
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4479153bfda45
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf5916dc6
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd1151f3525424
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea89465247a3d
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02bbd18f51c23
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1110345af1720
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe207076f14d8b3
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe31218514356f1
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe438bcdcf6099a
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf586e607
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd1143e34d9c49
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea821a753f27b
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02af139f5e105
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe10efe130a2409
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe202bdf8584e99
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe309e94d604f15
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe42a172e4ab873
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf57c5e48
